Value						Probability		Ex1		Ex2		Ex3		Ex4		Ex5		Ex6		Ex7		Ex8		Ex9		Ex10

       000000000			0.2608			0.2732	0.2286	0.2352	0.2611	0.2697	0.2335	0.2534	0.2754	0.2935	0.2842
       111111111			0.1108			0.1154	0.1027	0.1039	0.1207	0.1172	0.1046	0.1107	0.1124	0.1127	0.1073
       001000000			0.0272			0.0253	0.0233	0.0243	0.0277	0.0297	0.0311	0.0273	0.0291	0.0280	0.0266
       110111111			0.0255			0.0221	0.0276	0.0232	0.0287	0.0287	0.0286	0.0229	0.0299	0.0199	0.0233
       000000010			0.0203			0.0192	0.0199	0.0325	0.0199	0.0181	0.0120	0.0269	0.0160	0.0184	0.0208
       000010000			0.0189			0.0145	0.0427	0.0168	0.0154	0.0265	0.0117	0.0164	0.0159	0.0151	0.0139
       111111110			0.0188			0.0155	0.0182	0.0189	0.0223	0.0221	0.0199	0.0203	0.0220	0.0159	0.0132
       111111101			0.0184			0.0242	0.0187	0.0142	0.0135	0.0161	0.0112	0.0155	0.0267	0.0234	0.0203
       111110111			0.0165			0.0208	0.0142	0.0145	0.0165	0.0171	0.0125	0.0142	0.0162	0.0216	0.0171
       111111011			0.0141			0.0131	0.0132	0.0122	0.0139	0.0155	0.0154	0.0153	0.0159	0.0128	0.0142
       101111111			0.0141			0.0161	0.0122	0.0128	0.0143	0.0150	0.0142	0.0126	0.0155	0.0160	0.0126
       111011111			0.0139			0.0117	0.0117	0.0125	0.0162	0.0159	0.0123	0.0150	0.0155	0.0154	0.0123
       000000001			0.0138			0.0134	0.0111	0.0128	0.0144	0.0148	0.0129	0.0107	0.0168	0.0168	0.0137
       010000000			0.0132			0.0126	0.0125	0.0128	0.0131	0.0120	0.0161	0.0145	0.0125	0.0135	0.0129
       111101111			0.0132			0.0135	0.0115	0.0140	0.0146	0.0117	0.0123	0.0137	0.0144	0.0126	0.0133
       000011110			0.0131			0.0140	0.0123	0.0197	0.0125	0.0143	0.0082	0.0161	0.0089	0.0100	0.0151
       000000100			0.0120			0.0126	0.0103	0.0106	0.0122	0.0101	0.0084	0.0125	0.0112	0.0184	0.0137
       000001000			0.0114			0.0116	0.0092	0.0084	0.0110	0.0126	0.0090	0.0115	0.0125	0.0138	0.0148
       111100001			0.0113			0.0138	0.0126	0.0133	0.0116	0.0092	0.0085	0.0137	0.0078	0.0082	0.0145
       000100001			0.0112			0.0134	0.0094	0.0115	0.0123	0.0100	0.0114	0.0098	0.0088	0.0134	0.0125
       011111111			0.0110			0.0107	0.0116	0.0133	0.0118	0.0099	0.0115	0.0092	0.0111	0.0087	0.0120
       000001100			0.0109			0.0095	0.0093	0.0115	0.0095	0.0114	0.0077	0.0128	0.0128	0.0125	0.0120
       111011110			0.0100			0.0092	0.0090	0.0112	0.0120	0.0109	0.0094	0.0105	0.0093	0.0103	0.0085
       100000000			0.0094			0.0095	0.0088	0.0095	0.0090	0.0089	0.0139	0.0084	0.0076	0.0083	0.0096
       101000000			0.0088			0.0061	0.0150	0.0040	0.0050	0.0062	0.0278	0.0057	0.0070	0.0057	0.0055
       111101101			0.0083			0.0074	0.0085	0.0156	0.0100	0.0071	0.0052	0.0107	0.0052	0.0051	0.0079
       000010010			0.0080			0.0074	0.0098	0.0129	0.0090	0.0071	0.0045	0.0110	0.0063	0.0042	0.0082
       000100000			0.0080			0.0072	0.0089	0.0085	0.0098	0.0070	0.0071	0.0078	0.0078	0.0078	0.0077
       000111111			0.0064			0.0048	0.0111	0.0048	0.0037	0.0043	0.0203	0.0042	0.0034	0.0033	0.0048
       010111111			0.0063			0.0046	0.0072	0.0049	0.0057	0.0052	0.0161	0.0051	0.0054	0.0055	0.0037
       111000000			0.0054			0.0050	0.0044	0.0067	0.0035	0.0034	0.0155	0.0072	0.0022	0.0026	0.0034
       111110011			0.0049			0.0046	0.0055	0.0054	0.0049	0.0046	0.0038	0.0060	0.0044	0.0038	0.0065
       110111110			0.0044			0.0023	0.0026	0.0046	0.0054	0.0062	0.0054	0.0043	0.0054	0.0039	0.0035
       000011100			0.0042			0.0038	0.0038	0.0072	0.0056	0.0034	0.0015	0.0043	0.0028	0.0037	0.0055
       110111101			0.0036			0.0038	0.0040	0.0031	0.0040	0.0027	0.0022	0.0031	0.0056	0.0045	0.0034
       110110111			0.0034			0.0027	0.0031	0.0038	0.0031	0.0035	0.0037	0.0033	0.0050	0.0037	0.0026
       100111111			0.0033			0.0045	0.0038	0.0033	0.0031	0.0033	0.0022	0.0040	0.0034	0.0028	0.0031
       110101111			0.0032			0.0024	0.0034	0.0046	0.0049	0.0029	0.0029	0.0018	0.0035	0.0024	0.0032
       000001110			0.0029			0.0032	0.0042	0.0032	0.0033	0.0023	0.0013	0.0031	0.0026	0.0027	0.0035
       110011111			0.0029			0.0027	0.0028	0.0031	0.0035	0.0034	0.0026	0.0029	0.0028	0.0017	0.0038
       110111011			0.0029			0.0027	0.0022	0.0032	0.0044	0.0024	0.0028	0.0026	0.0038	0.0027	0.0020
       111110110			0.0028			0.0026	0.0020	0.0017	0.0031	0.0033	0.0038	0.0032	0.0029	0.0034	0.0023
       111111100			0.0028			0.0023	0.0027	0.0034	0.0022	0.0021	0.0020	0.0032	0.0042	0.0023	0.0033
       111101110			0.0027			0.0032	0.0034	0.0022	0.0029	0.0026	0.0034	0.0031	0.0033	0.0018	0.0015
       101111110			0.0027			0.0027	0.0029	0.0026	0.0021	0.0027	0.0033	0.0037	0.0029	0.0027	0.0013
       111110101			0.0025			0.0048	0.0020	0.0022	0.0016	0.0016	0.0016	0.0013	0.0034	0.0035	0.0033
       101110111			0.0024			0.0023	0.0020	0.0026	0.0022	0.0032	0.0015	0.0016	0.0024	0.0042	0.0024
       110100001			0.0024			0.0027	0.0026	0.0035	0.0027	0.0022	0.0018	0.0021	0.0022	0.0020	0.0021
       111111001			0.0022			0.0027	0.0021	0.0024	0.0018	0.0013	0.0012	0.0020	0.0021	0.0028	0.0039
       101111101			0.0022			0.0033	0.0021	0.0016	0.0012	0.0016	0.0007	0.0018	0.0035	0.0037	0.0026
       111000001			0.0022			0.0018	0.0016	0.0033	0.0018	0.0022	0.0021	0.0024	0.0018	0.0017	0.0032
       101100001			0.0022			0.0031	0.0021	0.0033	0.0021	0.0016	0.0021	0.0016	0.0010	0.0022	0.0028
       111011101			0.0022			0.0027	0.0031	0.0018	0.0022	0.0011	0.0012	0.0022	0.0022	0.0022	0.0029
