VALUES		COUNTS

1101010101010101	3
0000000000000000	2
1100010100010101	2
1101010100010101	2
0101010101010001	2
1001010101010101	2
0000000000000001	1
0000000100000000	1
0000000100000001	1
0100000000000000	1
1100000000000000	1
0001000000000000	1
0000100000000000	1
0001000000000100	1
1000000000010100	1
1000010000000000	1
1000010000010000	1
0101010000000101	1
0001010100010101	1
0101010100010101	1
1001010000010100	1
0001010100010111	1
0000000001000000	1
0101000101010101	1
1100010101010001	1
1100010101010101	1
0101010101010101	1
1101010101010100	1
