N		Error

   5 1.00000000000000000000
  10 1.00000000000000000000
  15 1.00000000000000000000
  20 1.00000000000000000000
  25 1.00000000000000000000
  30 1.00000000000000000000
  35 1.00000000000000000000
  40 1.00000000000000000000
  45 1.00000000000000000000
  50 1.00000000000000000000
 100 0.88000000000000000444
 200 0.76000000000000000888
 500 0.54000000000000003553
