N		Error

   5 0.20999999999999996447
  10 0.11999999999999999556
  15 0.03000000000000002665
  20 0.00500000000000000444
  25 0.00500000000000000444
  30 0.00000000000000000000
  35 0.00000000000000000000
  40 0.00000000000000000000
  45 0.00000000000000000000
  50 0.00000000000000000000
  75 0.00000000000000000000
 100 0.00000000000000000000
 200 0.00000000000000000000
 500 0.00000000000000000000
