N		Error

   5 0.70999999999999996447
  10 0.54499999999999992895
  15 0.33999999999999996891
  20 0.29500000000000003997
  25 0.23499999999999998668
  30 0.21499999999999996891
  35 0.21999999999999997335
  40 0.16000000000000003109
  45 0.15500000000000002665
  50 0.11499999999999999112
  75 0.02500000000000002220
 100 0.01000000000000000888
 200 0.00000000000000000000
 500 0.00000000000000000000
