N		Error

   5 0.55499999999999993783
  10 0.31999999999999995115
  15 0.13000000000000000444
  20 0.08499999999999996447
  25 0.05000000000000004441
  30 0.02500000000000002220
  35 0.02000000000000001776
  40 0.01500000000000001332
  45 0.00500000000000000444
  50 0.00500000000000000444
  75 0.00000000000000000000
 100 0.00000000000000000000
 200 0.00000000000000000000
 500 0.01000000000000000888
